src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.10.50,196.203.103.45,49753,443,17,2026-05-31 03:01:57,58.631418,52367.50371618166,35.42469329327836,13.781007309084696,21.643685984193663,808,1269,137147,2933234,1294,76,169.73638613861385,304.8520028252135,10058,68,2311.453112687155,1331.1802806851342,10058,68,1478.2768415984592,1486.2958960189953,2209075.490522908,16160,25380,20,808,0.02824241377649326,6.256195,-2.4e-05,0.3244309258437727,58.622355,6.263196,0.0,0.07264232342007435,0.517879708890672,58.624924,6.262471,0.0,0.04623416719242902,0.41504649789390546,0,0,0,0,0,0,0,0,0,0,0,1.5705445544554455,1478.2768415984592,0,0,0,0,0,0,0,0,0,0,3214.0,4.333333333333333,11234.471698113208,5.018867924528302,3730.971253360498938402858992,8146825.016760846662197107557,169.73638613861385,2311.453112687155,0,808,1269,137147,2933234
192.168.10.50,142.250.74.174,60110,443,6,2026-05-31 03:01:57,51.50776,454.72759832693174,1.4755058266948515,0.5824365105374414,0.8930693161574101,30,46,18226,5196,2842,66,607.5333333333333,834.2881090420077,1184,66,112.95652173913044,161.36711540994895,2842,66,308.1842105263158,590.7226107984925,348953.2029085873,600,920,20,23,0.6867701333333333,22.522348,0.0,3.2970749079111012,51.471768,22.547033,0.0,1.7748885517241375,5.125791360064529,51.485057,22.543471,0.0,1.1441123777777777,4.200537840967401,23,20,0,0,0,0,0,43,76,0,0,1.5333333333333334,308.1842105263158,81,536,0,0,0,0,0,0,0,0,6928.0,5.0,728.0,4.0,9387533.875338753387533875339,807991.1209766925638179800222,607.5333333333333,112.95652173913044,0,30,46,18226,5196
192.168.10.50,192.168.50.100,52374,53,17,2026-05-31 03:02:01,0.0,0,0,0,0,2,0,266,0,133,133,133.0,0.0,0,0,0,0.0,133,133,133.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0,0,0,2,0,266,0
192.168.10.50,192.168.50.100,52228,53,17,2026-05-31 03:02:01,0.0,0,0,0,0,2,0,266,0,133,133,133.0,0.0,0,0,0,0.0,133,133,133.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0,0,0,2,0,266,0
192.168.10.50,192.168.50.100,49151,53,17,2026-05-31 03:02:01,0.0,0,0,0,0,2,0,266,0,133,133,133.0,0.0,0,0,0,0.0,133,133,133.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0,0,0,2,0,266,0
192.168.10.50,192.168.50.100,46057,53,17,2026-05-31 03:02:01,0.0,0,0,0,0,2,0,266,0,133,133,133.0,0.0,0,0,0,0.0,133,133,133.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0,0,0,2,0,266,0
192.168.10.50,192.168.50.100,32781,53,17,2026-05-31 03:02:01,0.0,0,0,0,0,2,0,266,0,133,133,133.0,0.0,0,0,0,0.0,133,133,133.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0,0,0,2,0,266,0
192.168.10.50,192.168.50.100,57262,53,17,2026-05-31 03:02:01,0.0,0,0,0,0,2,0,266,0,133,133,133.0,0.0,0,0,0,0.0,133,133,133.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0,0,0,2,0,266,0
34.107.243.93,192.168.10.102,443,34714,6,2026-05-31 03:02:04,0.027434,14872.056572136764,218.7067142961289,145.80447619741926,72.90223809870963,4,2,252,156,66,60,63.0,3.0,90,66,78.0,12.0,90,60,68.0,10.198039027185569,104.0,80,40,20,2,0.0054868,0.027431,0.0,0.01097210002506357,0.027434,0.027432,0.0,0.009144666666666667,0.012931097435596443,0,0,0,0,0,0,1,0,0,3,0,2,1,4,0,0,0.5,68.0,1039,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.0,78.0,0,4,2,252,156
71.18.255.147,192.168.10.102,443,58042,6,2026-05-31 03:02:04,44.565061,18.62445560211395,0.24683013448584756,0.15707372194553934,0.08975641254030821,7,4,510,320,90,66,72.85714285714286,10.842094834863016,94,66,80.0,14.0,94,66,75.45454545454545,12.565201849578907,157.88429752066116,140,80,20,2,4.4565061,15.192028,0.0,6.702181754765882,44.565061,15.192028,0.0,7.427510166666668,7.266741827589226,44.313256,15.4388,14.252788,14.771085333333334,0.49558064978456223,2,2,0,0,0,0,0,4,11,0,0,0.5714285714285714,75.45454545454545,97,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.85714285714286,80.0,0,7,4,510,320
